1 xplmin   xplmax   zplmax   arad   x-zero   xmagax   xmaj  xzmax  xatpi  xofset  a-ratio
     2  101  -0.272743345E+00   0.404980452E+01   0.352755026E-03   0.123716415E-03  -0.146643045E-04   0.350712389E+00   0.198215416E-02  -0.354585406E+00  -0.158844121E-04
     2  102  -0.272743345E+00   0.404979628E+01   0.176463211E-03   0.618883590E-04  -0.732877608E-05   0.350713321E+00   0.198508080E-02  -0.354585917E+00  -0.795305856E-05
     3    3  -0.272675717E+00   0.406660023E+01   0.000000000E+00   0.000000000E+00   0.221582405E-12   0.349490420E+00  -0.395858068E-02  -0.352183059E+00  -0.221582405E-12
     3    4  -0.272675717E+00   0.406659473E+01   0.352965754E-03   0.123358904E-03  -0.404256848E-04   0.349490501E+00  -0.395664152E-02  -0.352184255E+00   0.100909506E-04
     3    5  -0.272675717E+00   0.406657823E+01   0.705588657E-03   0.246598741E-03  -0.807458746E-04   0.349489713E+00  -0.395082585E-02  -0.352187840E+00   0.201054393E-04
     3    6  -0.272675717E+00   0.406655075E+01   0.105752614E-02   0.369600437E-03  -0.120859713E-03   0.349488479E+00  -0.394113907E-02  -0.352193802E+00   0.299716465E-04
     3    7  -0.272675717E+00   0.406651232E+01   0.140843624E-02   0.492245178E-03  -0.160664859E-03   0.349486781E+00  -0.392759017E-02  -0.352202126E+00   0.396162061E-04
     3    8  -0.272675717E+00   0.406646296E+01   0.175797783E-02   0.614414443E-03  -0.200062885E-03   0.349484647E+00  -0.391019176E-02  -0.352212788E+00   0.489695959E-04
     3    9  -0.272675717E+00   0.406640274E+01   0.210581097E-02   0.735990101E-03  -0.238949952E-03   0.349482066E+00  -0.388896002E-02  -0.352225757E+00   0.579567924E-04
     3   10  -0.272675717E+00   0.406633169E+01   0.245159718E-02   0.856854512E-03  -0.277233235E-03   0.349479092E+00  -0.386391470E-02  -0.352240996E+00   0.665136706E-04
     3   11  -0.272675717E+00   0.406624990E+01   0.279499972E-02   0.976890630E-03  -0.314818020E-03   0.349475753E+00  -0.383507914E-02  -0.352258464E+00   0.745740768E-04
     3   12  -0.272675717E+00   0.406615744E+01   0.313568388E-02   0.109598210E-02  -0.351609061E-03   0.349472069E+00  -0.380248021E-02  -0.352278110E+00   0.820711648E-04
     3   13  -0.272675717E+00   0.406605439E+01   0.347331729E-02   0.121401334E-02  -0.387521420E-03   0.349468095E+00  -0.376614835E-02  -0.352299879E+00   0.889482103E-04
     3   14  -0.272675717E+00   0.406594086E+01   0.380757023E-02   0.133086969E-02  -0.422467332E-03   0.349463865E+00  -0.372611751E-02  -0.352323712E+00   0.951454561E-04
     3   15  -0.272675717E+00   0.406581694E+01   0.413811588E-02   0.144643745E-02  -0.456370339E-03   0.349459440E+00  -0.368242514E-02  -0.352349542E+00   0.100614215E-03
     3   16  -0.272675717E+00   0.406568277E+01   0.446463064E-02   0.156060403E-02  -0.489147146E-03   0.349454853E+00  -0.363511217E-02  -0.352377297E+00   0.105298709E-03
     3   17  -0.272675717E+00   0.406553846E+01   0.478679443E-02   0.167325802E-02  -0.520731310E-03   0.349450174E+00  -0.358422302E-02  -0.352406903E+00   0.109159733E-03
     3   18  -0.272675717E+00   0.406538415E+01   0.510429098E-02   0.178428930E-02  -0.551051259E-03   0.349445451E+00  -0.352980552E-02  -0.352438277E+00   0.112152646E-03
     3   19  -0.272675717E+00   0.406521999E+01   0.541680812E-02   0.189358916E-02  -0.580049937E-03   0.349440752E+00  -0.347191090E-02  -0.352471339E+00   0.114246999E-03
     3   20  -0.272675717E+00   0.406504614E+01   0.572403811E-02   0.200105037E-02  -0.607662161E-03   0.349436125E+00  -0.341059378E-02  -0.352505995E+00   0.115403858E-03
     3   21  -0.272675717E+00   0.406486276E+01   0.602567788E-02   0.210656730E-02  -0.633844857E-03   0.349431648E+00  -0.334591210E-02  -0.352542160E+00   0.115606027E-03
     3   22  -0.272675717E+00   0.406467002E+01   0.632142938E-02   0.221003602E-02  -0.658544293E-03   0.349427373E+00  -0.327792711E-02  -0.352579733E+00   0.114825245E-03
     3   23  -0.272675717E+00   0.406446812E+01   0.661099985E-02   0.231135442E-02  -0.681727032E-03   0.349423376E+00  -0.320670333E-02  -0.352618623E+00   0.113053124E-03
     3   24  -0.272675717E+00   0.406425725E+01   0.689410213E-02   0.241042226E-02  -0.703352516E-03   0.349419715E+00  -0.313230847E-02  -0.352658726E+00   0.110273705E-03
     3   25  -0.272675717E+00   0.406403760E+01   0.717045492E-02   0.250714133E-02  -0.723396850E-03   0.349416462E+00  -0.305481343E-02  -0.352699945E+00   0.106487212E-03
     3   26  -0.272675717E+00   0.406380940E+01   0.743978313E-02   0.260141551E-02  -0.741832876E-03   0.349413677E+00  -0.297429221E-02  -0.352742174E+00   0.101690111E-03
